"No.","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","yield_control","yield_treatm","yield_measure","Treatment","QualityOfDataPoint","Coordinate_format","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_measure_unified","pr_pub_Year","pr_Croptype","pr_Longitude","pr_Latitude","pr_Treatment","pr_harvest_Year","pr_Year_difference","pr_harvest_Year_by_median","pr_land_cover_Year"
"1118","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",4862.75,4098.04,"kg/ha","Straw return",NA,"Degr-Min-Sec",4862.75,4098.04,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1119","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7491.8,6888.5,"kg/ha","Straw return",NA,"Degr-Min-Sec",7491.8,6888.5,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1120","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7784.31,7235.29,"kg/ha","Straw return",NA,"Degr-Min-Sec",7784.31,7235.29,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1121","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",6062.3,5708.2,"kg/ha","Straw return",NA,"Degr-Min-Sec",6062.3,5708.2,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1122","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",4352.94,4196.08,"kg/ha","Straw return",NA,"Degr-Min-Sec",4352.94,4196.08,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1123","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7727.87,7137.7,"kg/ha","Straw return",NA,"Degr-Min-Sec",7727.87,7137.7,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1124","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7490.2,6862.72,"kg/ha","Straw return",NA,"Degr-Min-Sec",7490.2,6862.72,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1125","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",7163.93,6796.72,"kg/ha","Straw return",NA,"Degr-Min-Sec",7163.93,6796.72,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1126","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",5627.45,5509.8,"kg/ha","Straw return",NA,"Degr-Min-Sec",5627.45,5509.8,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1127","D331","Zhu et al. (2016)",NA,NA,28.13833333,113.2,"Rice",8278.69,8134.43,"kg/ha","Straw return",NA,"Degr-Min-Sec",8278.69,8134.43,"kg/ha",2016,"Rice","113.2","28.13833333","Straw return",NA,NA,2009,2009
"1140","D331","The impact of different straw returning forms and rice varieties on CH4 and N2O emission in a double rice field",NA,NA,23.31666667,114.6,"Rice",3620,3693.3,"kg/ha","Straw return",NA,"Degr-Min-Sec",3620,3693.3,"kg/ha",2016,"Rice","114.6","23.31666667","Straw return",NA,NA,2009,2009
"1141","D331","The impact of different straw returning forms and rice varieties on CH4 and N2O emission in a double rice field",NA,NA,23.31666667,114.6,"Rice",4744.6,4946.9,"kg/ha","Straw return",NA,"Degr-Min-Sec",4744.6,4946.9,"kg/ha",2016,"Rice","114.6","23.31666667","Straw return",NA,NA,2009,2009
"1142","D331","The impact of different straw returning forms and rice varieties on CH4 and N2O emission in a double rice field",NA,NA,23.31666667,114.6,"Rice",4163.2,4143.2,"kg/ha","Straw return",NA,"Degr-Min-Sec",4163.2,4143.2,"kg/ha",2016,"Rice","114.6","23.31666667","Straw return",NA,NA,2009,2009
"1143","D331","The impact of different straw returning forms and rice varieties on CH4 and N2O emission in a double rice field",NA,NA,23.31666667,114.6,"Rice",3806.3,3870.8,"kg/ha","Straw return",NA,"Degr-Min-Sec",3806.3,3870.8,"kg/ha",2016,"Rice","114.6","23.31666667","Straw return",NA,NA,2009,2009
"1469","D331","Zhang et al. (2016)","China",NA,29.85,115.55,"Rice",6607,7337,"kg/ha","Straw return",NA,"Degr-Min-Sec",6607,7337,"kg/ha",2016,"Rice","115.55","29.85","Straw return",NA,NA,2009,2009
"1470","D331","Zhang et al. (2016)","China",NA,29.85,115.55,"Rice",6875,5623,"kg/ha","Straw return",NA,"Degr-Min-Sec",6875,5623,"kg/ha",2016,"Rice","115.55","29.85","Straw return",NA,NA,2009,2009
"1480","D331","Qin et al. (2016)","China",NA,23.1,114.5666667,"Rice",6941.46,6332.54,"kg/ha","Straw return",NA,"Degr-Min-Sec",6941.46,6332.54,"kg/ha",2016,"Rice","114.5666667","23.1","Straw return",NA,NA,2009,2009
"1481","D331","Qin et al. (2016)","China",NA,23.1,114.5666667,"Rice",6553.28,6781.17,"kg/ha","Straw return",NA,"Degr-Min-Sec",6553.28,6781.17,"kg/ha",2016,"Rice","114.5666667","23.1","Straw return",NA,NA,2009,2009
"1482","D331","Qin et al. (2016)","China",NA,23.1,114.5666667,"Rice",6550.31,6883.66,"kg/ha","Straw return",NA,"Degr-Min-Sec",6550.31,6883.66,"kg/ha",2016,"Rice","114.5666667","23.1","Straw return",NA,NA,2009,2009
"1483","D331","Qin et al. (2016)","China",NA,23.1,114.5666667,"Rice",6673.67,6240.31,"kg/ha","Straw return",NA,"Degr-Min-Sec",6673.67,6240.31,"kg/ha",2016,"Rice","114.5666667","23.1","Straw return",NA,NA,2009,2009
